depto,mupio,sector,hhid,upm2,consumption_per_capita_per_day
guatemala,3.0,3.0,1,1031003.0,22.024103900486367
guatemala,3.0,3.0,2,1031003.0,20.39253639042154
guatemala,3.0,3.0,3,1031003.0,21.341868982391144
guatemala,3.0,3.0,4,1031003.0,112.61907970172342
guatemala,3.0,3.0,5,1031003.0,61.55519270632246
guatemala,3.0,3.0,6,1031003.0,14.207949709708101
guatemala,3.0,3.0,7,1031003.0,18.944062996039673
guatemala,3.0,3.0,8,1031003.0,26.569015511313474
guatemala,5.0,28.0,9,1051028.0,63.99260252591846
guatemala,5.0,28.0,10,1051028.0,39.2640058545763
guatemala,5.0,28.0,11,1051028.0,37.50184507245303
guatemala,5.0,28.0,12,1051028.0,48.79545966540433
guatemala,5.0,28.0,13,1051028.0,56.51472524973552
guatemala,5.0,28.0,14,1051028.0,71.57349761703455
guatemala,5.0,50.0,15,1051050.0,25.321881232744037
guatemala,5.0,50.0,16,1051050.0,143.14204843556718
guatemala,5.0,50.0,17,1051050.0,60.63472748090832
guatemala,5.0,50.0,18,1051050.0,51.393824468995014
guatemala,5.0,50.0,19,1051050.0,37.32464368325933
guatemala,5.0,50.0,20,1051050.0,65.82316089476876
guatemala,5.0,50.0,21,1051050.0,29.941243265221104
guatemala,5.0,50.0,22,1051050.0,63.14839308276825
guatemala,5.0,50.0,23,1051050.0,54.923129638279946
guatemala,5.0,52.0,24,1051052.0,8.855137383797603
guatemala,5.0,52.0,25,1051052.0,39.31961316987911
guatemala,5.0,52.0,26,1051052.0,30.719002187423673
guatemala,5.0,52.0,27,1051052.0,62.79495463563644
guatemala,5.0,52.0,28,1051052.0,73.50065106020357
guatemala,5.0,52.0,29,1051052.0,47.005138202225865
guatemala,5.0,52.0,30,1051052.0,62.180359089616914
guatemala,5.0,52.0,31,1051052.0,11.66745490324988
guatemala,5.0,52.0,32,1051052.0,34.36923339196252
guatemala,5.0,52.0,33,1051052.0,18.736017729281937
guatemala,5.0,52.0,34,1051052.0,63.68027698002654
guatemala,5.0,52.0,35,1051052.0,54.06462085571013
guatemala,6.0,8.0,36,1061008.0,5.229896897360243
guatemala,6.0,8.0,37,1061008.0,24.152221032795786
guatemala,6.0,8.0,38,1061008.0,15.735674018259365
guatemala,6.0,8.0,39,1061008.0,47.360825528736164
guatemala,6.0,8.0,40,1061008.0,34.68515861712145
guatemala,6.0,8.0,41,1061008.0,9.437658793771485
guatemala,6.0,8.0,42,1061008.0,22.671902623057825
guatemala,6.0,8.0,43,1061008.0,16.370439546265874
guatemala,6.0,8.0,44,1061008.0,18.08656271256921
guatemala,6.0,8.0,45,1061008.0,13.464927876464966
guatemala,6.0,18.0,46,1061018.0,37.31216626739512
guatemala,6.0,18.0,47,1061018.0,29.858614431166934
guatemala,6.0,18.0,48,1061018.0,51.53181585488445
guatemala,6.0,18.0,49,1061018.0,177.38016590265335
guatemala,6.0,18.0,50,1061018.0,71.83250521419225
guatemala,6.0,18.0,51,1061018.0,17.804503181618713
guatemala,6.0,18.0,52,1061018.0,19.749108444056205
guatemala,6.0,18.0,53,1061018.0,29.2702637859792
guatemala,6.0,46.0,54,1061046.0,17.265002171637423
guatemala,6.0,46.0,55,1061046.0,17.097703581081678
guatemala,6.0,46.0,56,1061046.0,30.594099205903895
guatemala,6.0,46.0,57,1061046.0,29.308662205154246
guatemala,6.0,46.0,58,1061046.0,22.025848530315173
