hhid,has_paved_or_gravel_road,has_dirt_road,has_footpath_no_gravel,has_footpath,has_sea_lake_river,has_train,has_airplane,has_other
1,missing,missing,missing,missing,missing,missing,missing,missing
2,missing,missing,missing,missing,missing,missing,missing,missing
3,missing,missing,missing,missing,missing,missing,missing,missing
4,missing,missing,missing,missing,missing,missing,missing,missing
5,missing,missing,missing,missing,missing,missing,missing,missing
6,missing,missing,missing,missing,missing,missing,missing,missing
7,missing,missing,missing,missing,missing,missing,missing,missing
8,missing,missing,missing,missing,missing,missing,missing,missing
9,missing,missing,missing,missing,missing,missing,missing,missing
10,missing,missing,missing,missing,missing,missing,missing,missing
11,missing,missing,missing,missing,missing,missing,missing,missing
12,missing,missing,missing,missing,missing,missing,missing,missing
13,missing,missing,missing,missing,missing,missing,missing,missing
14,missing,missing,missing,missing,missing,missing,missing,missing
15,1,2,2,2,2,2,2,2
16,1,2,2,2,2,2,2,2
17,1,2,2,2,2,2,2,2
18,1,2,2,2,2,2,2,2
19,1,2,2,2,2,2,2,2
20,1,2,2,2,2,2,2,2
21,1,2,2,2,2,2,2,2
22,1,2,2,2,2,2,2,2
23,1,2,2,2,2,2,2,2
24,missing,missing,missing,missing,missing,missing,missing,missing
25,missing,missing,missing,missing,missing,missing,missing,missing
26,missing,missing,missing,missing,missing,missing,missing,missing
27,missing,missing,missing,missing,missing,missing,missing,missing
28,missing,missing,missing,missing,missing,missing,missing,missing
29,missing,missing,missing,missing,missing,missing,missing,missing
30,missing,missing,missing,missing,missing,missing,missing,missing
31,missing,missing,missing,missing,missing,missing,missing,missing
32,missing,missing,missing,missing,missing,missing,missing,missing
33,missing,missing,missing,missing,missing,missing,missing,missing
34,missing,missing,missing,missing,missing,missing,missing,missing
35,missing,missing,missing,missing,missing,missing,missing,missing
36,2,2,2,1,2,2,2,2
37,2,2,2,1,2,2,2,2
38,2,2,2,1,2,2,2,2
39,2,2,2,1,2,2,2,2
40,2,2,2,1,2,2,2,2
41,2,2,2,1,2,2,2,2
42,2,2,2,1,2,2,2,2
43,2,2,2,1,2,2,2,2
44,2,2,2,1,2,2,2,2
45,2,2,2,1,2,2,2,2
46,1,1,2,2,2,2,2,2
47,1,1,2,2,2,2,2,2
48,1,1,2,2,2,2,2,2
49,1,1,2,2,2,2,2,2
50,1,1,2,2,2,2,2,2
51,1,1,2,2,2,2,2,2
52,1,1,2,2,2,2,2,2
53,1,1,2,2,2,2,2,2
54,missing,missing,missing,missing,missing,missing,missing,missing
55,missing,missing,missing,missing,missing,missing,missing,missing
56,missing,missing,missing,missing,missing,missing,missing,missing
57,missing,missing,missing,missing,missing,missing,missing,missing
58,missing,missing,missing,missing,missing,missing,missing,missing
59,missing,missing,missing,missing,missing,missing,missing,missing
60,missing,missing,missing,missing,missing,missing,missing,missing
61,missing,missing,missing,missing,missing,missing,missing,missing
62,missing,missing,missing,missing,missing,missing,missing,missing
63,1,1,2,2,2,2,2,2
64,1,1,2,2,2,2,2,2
65,1,1,2,2,2,2,2,2
66,1,1,2,2,2,2,2,2
67,1,1,2,2,2,2,2,2
68,1,1,2,2,2,2,2,2
69,1,1,2,2,2,2,2,2
70,1,2,2,2,2,2,2,2
71,1,2,2,2,2,2,2,2
72,1,2,2,2,2,2,2,2
73,1,2,2,2,2,2,2,2
74,1,2,2,2,2,2,2,2
75,1,2,2,2,2,2,2,2
76,1,2,2,2,2,2,2,2
77,missing,missing,missing,missing,missing,missing,missing,missing
78,missing,missing,missing,missing,missing,missing,missing,missing
79,missing,missing,missing,missing,missing,missing,missing,missing
80,missing,missing,missing,missing,missing,missing,missing,missing
81,missing,missing,missing,missing,missing,missing,missing,missing
82,missing,missing,missing,missing,missing,missing,missing,missing
83,missing,missing,missing,missing,missing,missing,missing,missing
84,missing,missing,missing,missing,missing,missing,missing,missing
85,missing,missing,missing,missing,missing,missing,missing,missing
86,missing,missing,missing,missing,missing,missing,missing,missing
87,missing,missing,missing,missing,missing,missing,missing,missing
88,missing,missing,missing,missing,missing,missing,missing,missing
89,missing,missing,missing,missing,missing,missing,missing,missing
90,missing,missing,missing,missing,missing,missing,missing,missing
91,missing,missing,missing,missing,missing,missing,missing,missing
92,missing,missing,missing,missing,missing,missing,missing,missing
93,missing,missing,missing,missing,missing,missing,missing,missing
94,missing,missing,missing,missing,missing,missing,missing,missing
95,missing,missing,missing,missing,missing,missing,missing,missing
