hhid,batteries_cooking,batteries_home_business,batteries_household,candles_cooking,candles_home_business,candles_household,charcoal_cooking,charcoal_home_business,charcoal_household,electricity_cooking,electricity_home_business,electricity_household,kerosene_cooking,kerosene_home_business,kerosene_household,other_energy_cooking,other_energy_home_business,other_energy_household,propane_gas_cooking,propane_gas_home_business,propane_gas_household
1,si,no,si,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
2,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
3,no,no,si,missing,missing,missing,no,no,si,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
4,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
5,no,no,si,no,si,no,no,no,si,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
6,si,no,no,si,no,no,no,no,si,no,no,si,missing,missing,missing,missing,missing,missing,missing,missing,missing
7,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
8,missing,missing,missing,missing,missing,missing,no,no,si,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
9,si,si,no,missing,missing,missing,missing,missing,missing,no,si,si,missing,missing,missing,missing,missing,missing,no,no,si
10,si,no,no,missing,missing,missing,no,no,si,no,si,si,missing,missing,missing,missing,missing,missing,no,no,si
11,si,no,no,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
12,si,si,si,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
13,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
14,missing,missing,missing,no,no,si,missing,missing,missing,si,no,si,missing,missing,missing,missing,missing,missing,no,no,si
15,si,no,no,missing,missing,missing,missing,missing,missing,no,si,si,missing,missing,missing,missing,missing,missing,no,no,si
16,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
17,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
18,no,no,si,missing,missing,missing,no,no,si,no,si,si,missing,missing,missing,no,si,no,no,no,si
19,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
20,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
21,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,missing,no,no,si
