hhid,num_male,num_female,num_children,num_adults,num_elderly,hh_head_gender,hh_head_age,hh_head_marital_status,hh_head_ethnicity,hh_head_literacy,hh_head_education_level,max_education_level,female_max_education_level,num_children_enrolled
1,1,3,1,3,0,femenino,42,viudo (a),otro maya,lee y escribe,primaria,diversificado,basicos,0
2,2,1,0,3,2,masculino,60,unido (a),no indigena,lee y escribe,preparatoria,preparatoria,preparatoria,0
3,5,1,2,4,0,masculino,51,casado (a),no indigena,lee y escribe,preparatoria,diversificado,missing,2
4,0,1,0,1,1,femenino,89,viudo (a),no indigena,lee y escribe,preparatoria,preparatoria,preparatoria,0
5,2,1,1,2,0,masculino,49,casado (a),no indigena,lee y escribe,universitario,universitario,diversificado,0
6,1,4,3,2,1,femenino,42,viudo (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
7,1,2,1,2,1,femenino,79,viudo (a),no indigena,no lee ni escribe,missing,preparatoria,preparatoria,1
8,1,2,0,3,2,femenino,65,unido (a),kaqchikel,no lee ni escribe,missing,primaria,primaria,0
9,1,1,0,2,2,masculino,70,casado (a),no indigena,lee y escribe,basicos,diversificado,diversificado,0
10,3,2,1,4,0,masculino,59,casado (a),no indigena,lee y escribe,primaria,universitario,universitario,0
11,4,2,2,4,0,masculino,51,casado (a),no indigena,lee y escribe,universitario,universitario,diversificado,2
12,2,2,1,3,0,masculino,38,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
13,1,2,1,2,0,femenino,56,soltero (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
14,0,2,0,2,1,femenino,80,viudo (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
15,2,3,1,4,0,masculino,44,unido (a),no indigena,lee y escribe,primaria,diversificado,diversificado,1
16,0,1,0,1,1,femenino,85,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
17,1,0,0,1,1,masculino,82,viudo (a),no indigena,lee y escribe,primaria,primaria,missing,0
18,5,5,3,7,1,masculino,52,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
19,0,2,1,1,0,femenino,47,viudo (a),no indigena,lee y escribe,basicos,basicos,basicos,0
20,1,1,0,2,0,masculino,58,casado (a),no indigena,lee y escribe,primaria,primaria,primaria,0
21,0,2,0,2,2,femenino,93,soltero (a),no indigena,lee y escribe,9.0,primaria,primaria,0
22,0,1,0,1,0,femenino,24,soltero (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
23,3,1,2,2,0,masculino,25,casado (a),kaqchikel,lee y escribe,diversificado,diversificado,diversificado,0
24,0,4,2,2,0,femenino,50,soltero (a),kaqchikel,lee y escribe,primaria,primaria,primaria,0
25,0,2,0,2,0,femenino,52,separado (a) de union,no indigena,no lee ni escribe,missing,missing,missing,0
26,1,4,1,4,0,masculino,54,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
27,2,1,0,3,1,masculino,69,viudo (a),no indigena,lee y escribe,universitario,universitario,universitario,0
28,1,1,0,2,1,masculino,52,separado (a) de matrimonio,no indigena,lee y escribe,diversificado,diversificado,primaria,0
29,3,2,1,4,0,masculino,26,casado (a),no indigena,lee y escribe,post-grado,post-grado,diversificado,0
30,2,2,2,2,0,masculino,25,unido (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
31,1,2,1,2,0,femenino,24,soltero (a),no indigena,lee y escribe,primaria,primaria,primaria,0
32,2,3,3,2,0,masculino,47,casado (a),no indigena,lee y escribe,universitario,universitario,diversificado,3
33,1,2,1,2,0,masculino,21,unido (a),no indigena,lee y escribe,basicos,diversificado,diversificado,0
34,1,1,1,1,0,femenino,25,separado (a) de union,no indigena,lee y escribe,diversificado,diversificado,diversificado,0
35,0,1,0,1,0,femenino,55,viudo (a),no indigena,no lee ni escribe,missing,missing,missing,0
36,2,2,2,2,0,masculino,35,unido (a),no indigena,no lee ni escribe,missing,missing,missing,0
37,2,3,3,2,0,masculino,29,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
38,1,3,2,2,0,masculino,31,casado (a),no indigena,lee y escribe,primaria,primaria,primaria,1
39,1,1,0,2,2,masculino,68,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
40,2,1,0,3,2,masculino,61,casado (a),no indigena,lee y escribe,primaria,diversificado,primaria,0
41,2,2,2,2,0,masculino,25,unido (a),no indigena,lee y escribe,primaria,primaria,missing,0
42,3,1,1,3,0,masculino,33,casado (a),no indigena,lee y escribe,primaria,diversificado,primaria,1
43,2,3,3,2,0,masculino,31,casado (a),no indigena,lee y escribe,primaria,primaria,primaria,1
44,1,1,0,2,2,masculino,61,casado (a),no indigena,lee y escribe,diversificado,diversificado,primaria,0
45,3,2,3,2,0,masculino,32,casado (a),no indigena,lee y escribe,missing,missing,missing,1
46,2,1,1,2,0,masculino,36,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
47,2,2,0,4,1,femenino,65,viudo (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,0
48,3,1,2,2,0,masculino,36,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
49,1,0,0,1,0,masculino,49,soltero (a),no indigena,lee y escribe,post-grado,post-grado,missing,0
50,4,2,3,3,1,masculino,26,casado (a),no indigena,lee y escribe,diversificado,diversificado,diversificado,1
51,3,3,4,2,1,masculino,71,viudo (a),no indigena,lee y escribe,primaria,diversificado,diversificado,2
52,5,3,3,5,2,masculino,70,viudo (a),no indigena,lee y escribe,diversificado,universitario,universitario,3
53,2,0,0,2,0,masculino,45,divorciado (a),no indigena,lee y escribe,diversificado,diversificado,missing,0
54,2,3,2,3,0,masculino,38,casado (a),no indigena,lee y escribe,primaria,diversificado,diversificado,2
