region,area,hhid,hh_size,hh_wgt
metropolitana,urbana,1,4.0,541.0
metropolitana,urbana,2,3.0,541.0
metropolitana,urbana,3,6.0,541.0
metropolitana,urbana,4,1.0,541.0
metropolitana,urbana,5,3.0,541.0
metropolitana,urbana,6,5.0,541.0
metropolitana,urbana,7,3.0,541.0
metropolitana,urbana,8,3.0,541.0
metropolitana,urbana,9,2.0,305.0
metropolitana,urbana,10,5.0,305.0
metropolitana,urbana,11,6.0,305.0
metropolitana,urbana,12,4.0,305.0
metropolitana,urbana,13,3.0,305.0
metropolitana,urbana,14,2.0,305.0
metropolitana,urbana,15,5.0,593.0
metropolitana,urbana,16,1.0,593.0
metropolitana,urbana,17,1.0,593.0
metropolitana,urbana,18,10.0,593.0
metropolitana,urbana,19,2.0,593.0
metropolitana,urbana,20,2.0,593.0
metropolitana,urbana,21,2.0,593.0
metropolitana,urbana,22,1.0,593.0
metropolitana,urbana,23,4.0,593.0
metropolitana,urbana,24,4.0,700.0
metropolitana,urbana,25,2.0,700.0
metropolitana,urbana,26,5.0,700.0
metropolitana,urbana,27,3.0,700.0
metropolitana,urbana,28,2.0,700.0
metropolitana,urbana,29,5.0,700.0
metropolitana,urbana,30,4.0,700.0
metropolitana,urbana,31,3.0,700.0
metropolitana,urbana,32,5.0,700.0
metropolitana,urbana,33,3.0,700.0
metropolitana,urbana,34,2.0,700.0
metropolitana,urbana,35,1.0,700.0
metropolitana,urbana,36,4.0,706.0
metropolitana,urbana,37,5.0,706.0
metropolitana,urbana,38,4.0,706.0
metropolitana,urbana,39,2.0,706.0
metropolitana,urbana,40,3.0,706.0
metropolitana,urbana,41,4.0,706.0
metropolitana,urbana,42,4.0,706.0
metropolitana,urbana,43,5.0,706.0
metropolitana,urbana,44,2.0,706.0
metropolitana,urbana,45,5.0,706.0
metropolitana,urbana,46,3.0,679.0
metropolitana,urbana,47,4.0,679.0
metropolitana,urbana,48,4.0,679.0
metropolitana,urbana,49,1.0,679.0
metropolitana,urbana,50,6.0,679.0
metropolitana,urbana,51,6.0,679.0
metropolitana,urbana,52,8.0,679.0
metropolitana,urbana,53,2.0,679.0
metropolitana,urbana,54,5.0,724.0
metropolitana,urbana,55,4.0,724.0
metropolitana,urbana,56,3.0,724.0
metropolitana,urbana,57,3.0,724.0
metropolitana,urbana,58,3.0,724.0
metropolitana,urbana,59,3.0,724.0
metropolitana,urbana,60,2.0,724.0
metropolitana,urbana,61,3.0,724.0
metropolitana,urbana,62,4.0,724.0
metropolitana,urbana,63,3.0,1241.0
metropolitana,urbana,64,3.0,1241.0
metropolitana,urbana,65,5.0,1241.0
metropolitana,urbana,66,3.0,1241.0
metropolitana,urbana,67,4.0,1241.0
metropolitana,urbana,68,3.0,1241.0
metropolitana,urbana,69,4.0,1241.0
metropolitana,urbana,70,4.0,237.0
metropolitana,urbana,71,3.0,237.0
metropolitana,urbana,72,3.0,237.0
metropolitana,urbana,73,2.0,237.0
metropolitana,urbana,74,3.0,237.0
metropolitana,urbana,75,3.0,237.0
metropolitana,urbana,76,5.0,237.0
metropolitana,urbana,77,6.0,282.0
metropolitana,urbana,78,3.0,282.0
metropolitana,urbana,79,6.0,282.0
metropolitana,urbana,80,3.0,282.0
metropolitana,urbana,81,5.0,282.0
metropolitana,urbana,82,4.0,282.0
metropolitana,urbana,83,2.0,282.0
metropolitana,urbana,84,4.0,211.0
metropolitana,urbana,85,3.0,211.0
metropolitana,urbana,86,2.0,211.0
metropolitana,urbana,87,1.0,211.0
metropolitana,urbana,88,1.0,211.0
metropolitana,urbana,89,4.0,211.0
metropolitana,urbana,90,2.0,211.0
metropolitana,urbana,91,3.0,211.0
metropolitana,urbana,92,1.0,211.0
metropolitana,urbana,93,3.0,211.0
metropolitana,urbana,94,3.0,334.0
metropolitana,urbana,95,4.0,334.0
metropolitana,urbana,96,8.0,334.0
metropolitana,urbana,97,6.0,334.0
metropolitana,urbana,98,2.0,334.0
metropolitana,urbana,99,3.0,334.0
metropolitana,urbana,100,3.0,334.0
metropolitana,urbana,101,5.0,729.0
metropolitana,urbana,102,3.0,729.0
metropolitana,urbana,103,2.0,729.0
metropolitana,urbana,104,2.0,729.0
metropolitana,urbana,105,3.0,729.0
metropolitana,urbana,106,3.0,729.0
metropolitana,urbana,107,6.0,729.0
metropolitana,urbana,108,3.0,480.0
metropolitana,urbana,109,1.0,480.0
metropolitana,urbana,110,3.0,480.0
metropolitana,urbana,111,3.0,480.0
metropolitana,urbana,112,1.0,480.0
metropolitana,urbana,113,3.0,480.0
metropolitana,urbana,114,10.0,480.0
metropolitana,urbana,115,9.0,480.0
metropolitana,urbana,116,3.0,630.0
metropolitana,urbana,117,6.0,630.0
metropolitana,urbana,118,5.0,630.0
metropolitana,urbana,119,5.0,630.0
metropolitana,urbana,120,9.0,630.0
metropolitana,urbana,121,3.0,630.0
metropolitana,urbana,122,4.0,630.0
metropolitana,urbana,123,4.0,630.0
metropolitana,urbana,124,3.0,2676.0
metropolitana,urbana,125,2.0,2676.0
metropolitana,urbana,126,6.0,2676.0
metropolitana,urbana,127,3.0,2676.0
metropolitana,urbana,128,6.0,2676.0
metropolitana,urbana,129,8.0,2676.0
metropolitana,urbana,130,6.0,2676.0
metropolitana,urbana,131,3.0,2676.0
metropolitana,urbana,132,5.0,2676.0
metropolitana,urbana,133,4.0,2676.0
metropolitana,urbana,134,3.0,977.0
metropolitana,urbana,135,7.0,977.0
metropolitana,urbana,136,8.0,977.0
metropolitana,urbana,137,4.0,977.0
metropolitana,urbana,138,4.0,977.0
metropolitana,urbana,139,8.0,977.0
metropolitana,urbana,140,4.0,977.0
metropolitana,urbana,141,1.0,977.0
metropolitana,urbana,142,2.0,977.0
metropolitana,urbana,143,7.0,977.0
metropolitana,urbana,144,2.0,661.0
metropolitana,urbana,145,1.0,661.0
metropolitana,urbana,146,7.0,661.0
metropolitana,urbana,147,3.0,661.0
metropolitana,urbana,148,5.0,661.0
metropolitana,urbana,149,4.0,661.0
metropolitana,urbana,150,1.0,661.0
