depto,mupio,sector,c02act,c02a01
1,5,50,1,1
1,5,50,2,2
1,5,50,3,2
1,5,50,4,2
1,5,50,5,2
1,5,50,6,2
1,5,50,7,2
1,5,50,8,2
1,6,8,1,2
1,6,8,2,2
1,6,8,3,2
1,6,8,4,1
1,6,8,5,2
1,6,8,6,2
1,6,8,7,2
1,6,8,8,2
1,6,18,1,1
1,6,18,2,1
1,6,18,3,2
1,6,18,4,2
1,6,18,5,2
1,6,18,6,2
1,6,18,7,2
1,6,18,8,2
1,6,78,1,1
1,6,78,2,1
1,6,78,3,2
1,6,78,4,2
1,6,78,5,2
1,6,78,6,2
1,6,78,7,2
1,6,78,8,2
1,7,17,1,1
1,7,17,2,2
1,7,17,3,2
1,7,17,4,2
1,7,17,5,2
1,7,17,6,2
1,7,17,7,2
1,7,17,8,2
1,7,49,1,1
1,7,49,2,2
1,7,49,3,2
1,7,49,4,2
1,7,49,5,2
1,7,49,6,2
1,7,49,7,2
1,7,49,8,2
1,7,139,1,1
1,7,139,2,2
1,7,139,3,2
1,7,139,4,2
1,7,139,5,2
1,7,139,6,2
1,7,139,7,2
1,7,139,8,2
1,7,141,1,2
1,7,141,2,1
1,7,141,3,2
1,7,141,4,2
1,7,141,5,2
1,7,141,6,2
1,7,141,7,2
1,7,141,8,2
1,8,1,1,1
1,8,1,2,2
1,8,1,3,2
1,8,1,4,2
1,8,1,5,2
1,8,1,6,2
1,8,1,7,2
1,8,1,8,2
1,12,24,1,1
1,12,24,2,2
1,12,24,3,2
1,12,24,4,2
1,12,24,5,2
1,12,24,6,2
1,12,24,7,2
1,12,24,8,2
1,12,58,1,1
1,12,58,2,1
1,12,58,3,2
1,12,58,4,2
1,12,58,5,2
1,12,58,6,2
1,12,58,7,2
1,12,58,8,2
1,16,10,1,1
1,16,10,2,1
1,16,10,3,1
1,16,10,4,2
1,16,10,5,2
1,16,10,6,2
1,16,10,7,2
1,16,10,8,2
1,18,56,1,1
1,18,56,2,2
1,18,56,3,2
1,18,56,4,2
1,18,56,5,2
1,18,56,6,2
1,18,56,7,2
1,18,56,8,2
1,18,71,1,1
1,18,71,2,2
1,18,71,3,1
1,18,71,4,1
1,18,71,5,2
1,18,71,6,2
1,18,71,7,2
1,18,71,8,2
1,18,76,1,1
1,18,76,2,1
1,18,76,3,2
1,18,76,4,1
1,18,76,5,2
1,18,76,6,2
1,18,76,7,2
1,18,76,8,2
1,18,106,1,1
1,18,106,2,2
1,18,106,3,1
1,18,106,4,1
1,18,106,5,2
1,18,106,6,2
1,18,106,7,2
1,18,106,8,2
1,18,136,1,2
1,18,136,2,1
1,18,136,3,2
1,18,136,4,2
1,18,136,5,2
1,18,136,6,2
1,18,136,7,2
1,18,136,8,2
1,18,137,1,1
1,18,137,2,2
1,18,137,3,2
1,18,137,4,2
1,18,137,5,2
1,18,137,6,2
1,18,137,7,2
1,18,137,8,2
1,19,13,1,1
1,19,13,2,2
1,19,13,3,2
1,19,13,4,2
1,19,13,5,2
1,19,13,6,2
1,19,13,7,2
1,19,13,8,2
1,26,1,1,2
1,26,1,2,1
1,26,1,3,2
1,26,1,4,1
1,26,1,5,2
1,26,1,6,2
1,26,1,7,2
1,26,1,8,2
1,26,19,1,1
1,26,19,2,1
1,26,19,3,1
1,26,19,4,1
1,26,19,5,2
1,26,19,6,2
1,26,19,7,2
1,26,19,8,2
1,27,45,1,1
1,27,45,2,2
1,27,45,3,2
