depto,mupio,sector,c02b01,c02b02a,c02b02b
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,5,50,1.0,1.0,2.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,8,2.0,4.0,3.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,18,1.0,2.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
1,6,78,1.0,6.0,2.0
