variable_name,data_type,module_name,module_description,variable_description,geographic_indicator
region,categorical,HOGARES.DTA,Module description,administrative political region,True
area,categorical,HOGARES.DTA,Expansion factor per household,urban or rural area,False
hhid,numeric,HOGARES.DTA,Expansion factor per household,household id,False
hh_size,numeric,HOGARES.DTA,Expansion factor per household,# of people in the household (actual #),False
hh_wgt,numeric,HOGARES.DTA,Expansion factor per household,survey weight,False
num_gas_stove,numeric,ECV17E14.DTA,Home Equipment.,Number of gas or electric stoves,False
num_microwave,numeric,ECV17E14.DTA,Home Equipment.,Number of microwave ovens,False
num_oven,numeric,ECV17E14.DTA,Home Equipment.,Number of conventional ovens,False
num_refrigerator,numeric,ECV17E14.DTA,Home Equipment.,Number of refrigerators,False
num_coffee_maker,numeric,ECV17E14.DTA,Home Equipment.,Number of electric coffee makers,False
num_blender,numeric,ECV17E14.DTA,Home Equipment.,Number of blenders,False
num_juicer,numeric,ECV17E14.DTA,Home Equipment.,Number of juice extractors,False
num_nixtamal_mill,numeric,ECV17E14.DTA,Home Equipment.,Number of nixtamal or similar mills,False
num_computer,numeric,ECV17E14.DTA,Home Equipment.,Number of personal computers,False
num_printer,numeric,ECV17E14.DTA,Home Equipment.,Number of printers,False
num_camera,numeric,ECV17E14.DTA,Home Equipment.,Number of cameras,False
num_radio,numeric,ECV17E14.DTA,Home Equipment.,Number of transistor radios,False
num_cd_player,numeric,ECV17E14.DTA,Home Equipment.,Number of CD players,False
num_tape_recorder,numeric,ECV17E14.DTA,Home Equipment.,Number of tape or radio recorders,False
num_typewriter,numeric,ECV17E14.DTA,Home Equipment.,Number of typewriters,False
num_tv,numeric,ECV17E14.DTA,Home Equipment.,Number of televisions,False
num_video_camera,numeric,ECV17E14.DTA,Home Equipment.,Number of video cameras,False
num_cassette_camera,numeric,ECV17E14.DTA,Home Equipment.,Number of cassette video cameras,False
num_other_entertainment,numeric,ECV17E14.DTA,Home Equipment.,Number of other entertainment devices,False
num_beeper,numeric,ECV17E14.DTA,Home Equipment.,Number of beepers,False
num_phone,numeric,ECV17E14.DTA,Home Equipment.,Number of telephones,False
num_electric_iron,numeric,ECV17E14.DTA,Home Equipment.,Number of electric irons,False
num_charcoal_iron,numeric,ECV17E14.DTA,Home Equipment.,Number of charcoal irons,False
num_washer,numeric,ECV17E14.DTA,Home Equipment.,Number of washing machines,False
